Tue Apr 12 2022 04:59:22 GMT+0300 (East Africa Time))} 	6a6e1e05-eadd-4fe0-b8e9-6a0606ceed5e 	/bonesHendry	 GET
Tue Apr 12 2022 05:02:54 GMT+0300 (East Africa Time))} 	b5e78998-6b1f-4e87-a71b-d7eb2bf2cfca 	/bonesHendry	 GET
Tue Apr 12 2022 14:15:19 GMT+0300 (East Africa Time))} 	98e2e4be-4e4d-41d2-abb6-54d741e332dd 	GET	undefined	/
Tue Apr 12 2022 14:15:19 GMT+0300 (East Africa Time))} 	15c7047f-3636-4222-bf9c-f5bbe75c94c5 	GET	undefined	/
Tue Apr 12 2022 14:20:10 GMT+0300 (East Africa Time))} 	e1f32444-4744-4f46-b3bc-ea3d5ad41448 	GET	undefined	/
Tue Apr 12 2022 14:20:10 GMT+0300 (East Africa Time))} 	8c8bf8a6-f2c9-4ed5-a350-950440f422cc 	GET	undefined	/css/style.css
Wed Apr 13 2022 06:08:47 GMT+0300 (East Africa Time) 	24f6d60a-9f55-44b3-9600-0b69494a3971 	GET	undefined	/
Wed Apr 13 2022 06:08:47 GMT+0300 (East Africa Time) 	16fd0986-8b7d-4fb9-a4b0-7af664cd42bb 	GET	undefined	/css/style.css
Wed Apr 13 2022 06:08:47 GMT+0300 (East Africa Time) 	1a0bd74f-24c7-41bf-8fa2-fc5e0ce7d9b1 	GET	undefined	/favicon.ico
Wed Apr 13 2022 06:08:47 GMT+0300 (East Africa Time) 	e11b3904-8c15-4a15-b318-d631053989a8 	GET	https://www.google.com	/
Wed Apr 13 2022 06:14:59 GMT+0300 (East Africa Time) 	8471507b-878f-48c3-b7e0-21e6acd05f09 	GET	https://www.google.com	/
Wed Apr 13 2022 06:27:49 GMT+0300 (East Africa Time) 	bdab55f4-d44b-480e-ae01-4e681d1e5e8e 	GET	https://www.google.com	/
Wed Apr 13 2022 06:30:52 GMT+0300 (East Africa Time) 	cec3e438-22cb-4635-b3d3-195d363c6eb9 	GET	https://www.google.com	/
Wed Apr 13 2022 06:38:18 GMT+0300 (East Africa Time) 	cb8e794f-73c3-4ef0-9ec7-cb321f9b8452 	GET	undefined	/
